Year,Income Source,Sex,Region,Ethnic Group,Measure,Value,Flags
2013,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,887,
2014,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1056,
2015,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,979,
2016,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1009,
2017,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1043,
2018,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1129,
2019,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1150,
2020,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1018,
2021,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1232,
2022,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1239,
2023,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1263,
2013,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,671,
2014,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,748,
2015,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,690,
2016,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,720,
2017,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,700,
2018,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,729,
2019,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,767,
2020,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,671,
2021,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,767,
2022,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,767,
2023,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,767,
2013,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),321.2,
2014,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),310.2,
2015,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),328.9,
2016,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),495.6,
2017,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),497.7,
2018,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),517.5,
2019,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),532.4,
2020,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),567.5,
2021,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),598.1,
2022,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),581,
2023,Self-employment Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),596.4,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,964,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,993,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1021,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1073,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1106,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1139,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1165,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1209,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1248,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1347,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,1429,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,844,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,863,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,884,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,937,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,960,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,997,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,1016,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,1062,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,1093,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,1189,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Median Weekly Income,1273,
2013,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1857,
2014,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),1952.4,
2015,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),2013.9,
2016,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),2019.2,
2017,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),2095,
2018,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),2179,
2019,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),2202.2,
2020,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),2201.7,
2021,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),2226.3,
2022,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),2283.5,
2023,Wage and Salary Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Number of People (000),2379,
2013,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,284,
2014,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,286,
2015,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,297,
2016,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,304,
2017,Government Transfer Income,Total Both Sexes,Total Regions,Total Ethnic Groups,Average Weekly Income,314,
